,0
1070,Homer1
1071,Dennd1a
1072,Pla2g7
1073,Cbarp
1074,Itm2b
1075,Ndufa13
1076,Nes
1077,Syt7
1078,Ptk2
1079,Crybb1
1080,Slc6a13
1081,Ogn
1082,Ryr3
1083,Fam180a
1084,Plxna4
1085,Nkain3
1086,Adcy1
1087,Epb41l3
1088,Unc79
1089,Arfgef3
1090,Ptprn
1091,Tomm20
1092,Cyth4
1093,Ralgapa1
1094,Nalcn
1095,Smdt1
1096,Eva1a
1097,Elavl4
1098,Tinagl1
1099,Osbpl1a
1100,Slc32a1
1101,Cavin1
1102,Fam81a
1103,Ly6h
1104,Gm29393
1105,Cox5b
1106,Trio
1107,Limch1
1108,Clip3
1109,Naca
1110,Stox2
1111,Col3a1
1112,Uqcrq
1113,Map7d2
1114,Olfr1228
1115,Prr16
1116,Plekhb1
1117,Ltc4s
1118,B230209E15Rik
1119,Evi2a
1120,Otx2os1
1121,Fbxl17
1122,Hoxa13
1123,Pitpnc1
1124,Chd3
1125,Il16
1126,Unc5b
1127,Ccl12
1128,Stxbp6
1129,Cadps2
1130,Dipk2b
1131,Plcl1
1132,Clec4n
1133,Arl6ip1
1134,Cltc
1135,Bcl11a
1136,Fam126b
1137,Syngr1
1138,Myo9a
1139,Ncoa7
1140,Klf12
1141,Exoc6b
1142,Nmnat2
1143,Cd180
1144,Vav1
1145,Map3k7cl
1146,Cacna1d
1147,Gm9946
1148,Nsg1
1149,C130073E24Rik
1150,Tox
1151,Fbxw7
1152,Prox1
1153,Cmtm5
1154,Arhgap32
1155,Pfdn2
1156,Qk
1157,Atp5a1
1158,Ext1
1159,Cox6b1
1160,Vim
1161,Smim10l1
1162,Rem1
1163,Stau2
1164,Olfr603
1165,Zcchc18
1166,She
1167,Srcin1
1168,Scn1a
1169,Vsir
1170,Mlf2
1171,Prl7a2
1172,Tra2a
1173,Lingo1
1174,Tnfaip6
1175,Thsd7a
1176,Rac1
1177,Pebp1
1178,Scoc
1179,Cox17
1180,Rab14
1181,Foxf2
1182,Rab2a
1183,Lpgat1
1184,Hapln2
1185,Dlg1
1186,Wwox
1187,Rasgef1a
1188,Ppm1l
1189,7630403G23Rik
1190,Havcr2
1191,Herc1
1192,Hmgb1
1193,Gm35552
1194,Trhde
1195,Dkk3
1196,Cntnap5b
1197,Ogt
1198,Cit
1199,Fstl4
1200,Pgam1
1201,Adora2a
1202,Nlrp1b
1203,Ablim1
1204,Slc6a17
1205,Zfp706
1206,Megf10
1207,Arf1
1208,Gm32647
1209,Ankrd11
1210,Srarp
1211,Scgb2b7
1212,Enc1
1213,Elavl2
1214,R3hdm2
1215,Nebl
1216,5730522E02Rik
1217,Pkia
1218,Fam107a
1219,Kmt2e
1220,Zmynd8
1221,Trgv2
1222,Olig2
1223,Ssh2
1224,Eid1
1225,Klrc2
1226,Lncpint
1227,Ina
1228,Arl15
1229,Tmtc2
1230,Sez6l
1231,Oxct1
1232,Pdzrn4
1233,G3bp2
1234,Ldlrad4
1235,Actr2
1236,Tmem63a
1237,Htra1
1238,Olfr1174-ps
1239,Ak5
1240,Rpl10a
1241,Scrg1
1242,Tmx4
1243,Slc17a6
1244,Cd37
1245,Gm13441
1246,Prrc2c
1247,Tmem132d
1248,Pik3cg
1249,Nav1
1250,Uchl1
1251,Pld5
1252,Matr3
1253,Atp5j2
1254,Fmn2
1255,Nptx1
1256,Taok1
1257,Ctsb
1258,Anpep
1259,4930420G21Rik
1260,Mapre2
1261,Kcnb1
1262,Hivep3
1263,Csrnp3
1264,Gm43538
1265,Kctd8
1266,Epas1
1267,Hpca
1268,Nedd8
1269,Fam135b
1270,Cops9
1271,Fxyd6
1272,Bicd1
1273,Cox7b
1274,Ssbp2
1275,Stx1b
1276,Ppm1a
1277,Serbp1
1278,Cox6a1
1279,Cdh2
1280,Bsn
1281,Scd2
1282,Nlk
1283,Cd14
1284,Arhgap30
1285,Ugt1a8
1286,Eef2
1287,Dner
1288,Susd3
1289,Myo1f
1290,Plaat3
1291,Wdfy3
1292,Pitpna
1293,Hint1
1294,Chl1
1295,Tomm6
1296,Gng2
1297,Mir100hg
1298,Map1a
1299,Pcp4l1
1300,Des
1301,Hnrnpu
1302,Stag1
1303,Scg5
1304,Tspan13
1305,Uqcr11
1306,Rsrp1
1307,Cbx6
1308,Smarca2
1309,Sptan1
1310,Tmem132b
1311,Gabrb2
1312,Zmynd11
1313,Ifnl3
1314,Kcnmb2
1315,Ptprj
1316,Zfp804a
1317,Csde1
1318,Cyba
1319,Galnt6
1320,Zbtb7a
1321,Myl9
1322,Gm28322
1323,Gimap6
1324,Enah
1325,Jund
1326,Ear2
1327,Ninj2
1328,Gm16225
1329,Txnip
1330,Dnaja1
1331,Add1
1332,Arpp19
1333,Fcgr2b
1334,Lamc3
1335,Ap2b1
1336,Plcb4
1337,Ppp1cb
1338,Araf
1339,Nnat
1340,Trim37
1341,Dlg4
1342,Nptxr
1343,Itih5
1344,Lrmda
1345,Olfr1100
1346,Rnf14
1347,Mtch1
1348,Kmt2a
1349,Iqsec1
1350,Tmem173
1351,Rpl18
1352,Rit2
1353,Atp6v0b
1354,Pi4ka
1355,Rplp0
1356,Ttll7
1357,Runx1t1
1358,Atrnl1
1359,Hnrnpa2b1
1360,Celf5
1361,Necab1
1362,Rabep1
1363,Arhgap26
1364,Ubl3
1365,Ap2m1
1366,St13
1367,Tuba1a
1368,Slc4a4
1369,Tmem100
1370,Kcnt2
1371,Slc22a17
1372,Arglu1
1373,Klhl29
1374,Pkig
1375,Bmx
1376,Stab1
1377,Akap11
1378,Pcbp2
1379,Clic5
1380,Gm46224
1381,Ppp2ca
1382,Cacng2
1383,Stard13
1384,Tppp
1385,Bend6
1386,Pcnp
1387,Arhgap5
1388,Trim44
1389,Grin2c
1390,Lilrb4a
1391,Ccr1
1392,Sult4a1
1393,Gm47895
1394,Mt1
1395,Rapgef2
1396,Rassf9
1397,Enpep
1398,Samsn1
1399,Afap1l2
1400,Plekha5
1401,Gdi1
1402,Tmem163
1403,Edn3
1404,Shisa9
1405,Eef1a2
1406,AC149090.1
1407,Hnrnpa3
1408,Scn2b
1409,Thsd7b
1410,Hoxa5
1411,Cdkl5
1412,Nfasc
1413,Ensa
1414,Atp5b
1415,Ndufa5
1416,Nkx6-2
1417,Map2k4
1418,Eif5a
1419,Notch1
1420,Sparcl1
1421,Gper1
1422,Hspa4l
1423,Atp6v0e2
1424,Cnp
1425,Kdr
1426,Agap1
1427,Adamts4
1428,Micu3
1429,Akap9
1430,Spon1
1431,Efhd2
1432,Wbp2
1433,Tsc22d4
1434,Braf
1435,Epb41l1
1436,Abi2
1437,Glis3
1438,Pten
1439,Fzd2
1440,Atp2b4
1441,Sorbs1
1442,Igkv12-98
1443,Zfp36
1444,Ubl5
1445,Slc25a18
1446,Apba1
1447,4933436I01Rik
1448,Itgb2
1449,Cdc42
1450,Rpl7a
1451,Olfm3
1452,Gm19500
1453,Top1
1454,Prom1
1455,Icam1
1456,Upp2
1457,Timp3
1458,Cpne4
1459,Erg
1460,Msi2
1461,Tmem108
1462,Gprc5b
1463,Wipf1
1464,Fgfbp1
1465,H3f3a
1466,Ankrd17
1467,Il21r
1468,Hmgcs2
1469,Bmpr1b
1470,Shank1
1471,9530026P05Rik
1472,Litaf
1473,Mdh1
1474,Lrrk1
1475,Ndufc1
1476,Ighj3
1477,Sema5a
1478,Gli2
1479,Gm8011
1480,Gna15
1481,Pcdh11x
1482,Atp6v1e1
1483,Hp1bp3
1484,Ppp1r12a
1485,Prrc2b
1486,Grina
1487,Lfng
1488,Cox16
1489,Ccl9
1490,Rab10
1491,Osbpl6
1492,Hlf
1493,Tacc1
1494,Pid1
1495,Rpl36al
1496,Dock5
1497,Wfdc1
1498,Ksr2
1499,Smim13
1500,Arap3
1501,Npepps
1502,Smim14
1503,Ptafr
1504,AW112010
1505,Dennd5b
1506,Sem1
1507,Ccdc141
1508,Rasgef1b
1509,Vps13b
1510,Cldn10
1511,Atp5h
1512,Fto
1513,Rnf187
1514,Ids
1515,Gm3183
1516,Mt2
1517,Sumo1
1518,Pea15a
1519,Calcrl
1520,Erbb3
1521,Snrnp70
1522,Smyd3
1523,Gm20754
1524,Spred1
1525,Igf1r
1526,Egr3
1527,Ggt5
1528,Dip2b
1529,Sybu
1530,Tbx2
1531,Lsr
1532,mt-Atp8
1533,Kcnd3
1534,Usp9x
1535,Pdlim2
1536,Ccrl2
1537,Dlgap4
1538,Tac2
1539,Frmd4b
1540,Jmjd1c
1541,Phf21a
1542,Tmem204
1543,C1qtnf7
1544,Dnmt3a
1545,Hhip
1546,Arhgef12
1547,Tcf12
1548,Fam189a1
1549,Mef2a
1550,Naaladl2
1551,Cpq
1552,Dlc1
1553,Tulp4
1554,Kcnh1
1555,Birc6
1556,Cds2
1557,Nos1ap
1558,Ccdc85b
1559,Atp9a
1560,Ndufb1-ps
1561,Klf13
1562,Gm42912
1563,Crebbp
1564,Brk1
1565,Cpm
1566,Cobll1
1567,Gjb1
1568,Plxdc2
1569,C5ar2
1570,Plce1
1571,Hdgfl3
1572,Tmem273
1573,Gm47283
1574,Rtl4
1575,Pcdh10
1576,Rhox11
1577,Hpcal4
1578,Cntnap5c
1579,Nktr
1580,Itga1
1581,Btbd9
1582,Ptchd4
1583,Ppp2r5c
1584,Sort1
1585,Cdk17
1586,Calb2
1587,Skp1a
1588,Atp1a1
1589,Bptf
1590,Aff3
1591,5330434G04Rik
1592,Gm7682
1593,Rtf1
1594,Alx3
1595,Ccl7
1596,Arhgef10
1597,Baz2b
1598,Cbx5
1599,Tuba4a
1600,Cnpy1
1601,Btbd35f25
1602,Rbx1
1603,Rasgrf2
1604,Serpini1
1605,Sorl1
1606,Cplx1
1607,Glrb
1608,Trerf1
1609,Nsd1
1610,Aff4
1611,Mpped1
1612,Tagap
1613,Ets1
1614,Pcmtd1
1615,Gm6249
1616,Gm40645
1617,Dach1
1618,Uqcc2
1619,Cdip1
1620,Kcnip3
1621,Rnf130
1622,Fgf13
1623,Adgre5
1624,Mup15
1625,Pgrmc1
1626,Dgkh
1627,Rbm25
1628,Osmr
1629,Luc7l3
1630,Neto1
1631,Ndufs5
1632,Ccr2
1633,Cadm3
1634,Prrx1
1635,Ttc14
1636,Strn3
1637,Sbf2
1638,Emc10
1639,Nf1
1640,Hnrnpk
1641,Grap
1642,Mpc1
1643,Klhl2
1644,Galnt17
1645,Eml5
1646,Prkcq
1647,Vwf
1648,Camk2n2
1649,Unc93b1
1650,Cmip
1651,Cysltr1
1652,Mical3
1653,Selenom
